"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.639137488E-2,5.584968030E-3,4.565184385E-2,4.153978944E-2,6.197448524E-2
3.639837494E-2,1.460825966E-1,1.133681560E-1,-1.431000781E-1,2.338163728E-1
4.640437500E-2,1.423162588E-1,1.412789628E-1,-2.075708932E-1,2.886162479E-1
5.641137483E-2,1.957779363E-2,1.252561301E-1,-1.320383155E-1,1.830478213E-1
6.641737488E-2,-1.304119125E-2,1.266977611E-1,2.536522150E-2,1.298683557E-1
7.642337494E-2,4.851844132E-2,1.368979365E-1,9.233045876E-2,1.721046129E-1
8.643037500E-2,4.983201832E-2,1.149010035E-1,-1.456775308E-2,1.260860424E-1
9.643637482E-2,8.323014468E-2,3.135423213E-2,-2.242325342E-1,2.412272253E-1
1.064433749E-1,2.259533697E-1,1.791908473E-2,-3.875458521E-1,4.489630345E-1
1.164493749E-1,3.066735971E-1,-5.804823339E-3,-3.936749035E-1,4.990614399E-1
1.264553750E-1,3.048578905E-1,-6.145072818E-2,-3.468410450E-1,4.658467944E-1
1.364623748E-1,2.715483494E-1,-1.254438257E-1,-2.681521404E-1,4.017215825E-1
1.464683749E-1,2.307591963E-1,-1.387436101E-1,-1.695903039E-1,3.182144987E-1
1.564753749E-1,1.688129166E-1,-1.479211074E-1,-1.489414465E-1,2.693733642E-1
1.664813750E-1,6.746195823E-2,-1.465516895E-1,-1.273307222E-1,2.055276778E-1
1.764873748E-1,-8.038649753E-2,-9.085169792E-2,-1.449881440E-1,1.890438624E-1
1.864943749E-1,-2.150956750E-1,-2.510531276E-2,-1.388871592E-1,2.572665332E-1
1.965003749E-1,-2.882817650E-1,3.437285721E-2,-1.037506557E-1,3.083051538E-1
2.065063750E-1,-3.405409625E-1,5.131457984E-2,-2.967929721E-2,3.456619648E-1
2.165133748E-1,-3.867615212E-1,5.307342231E-2,5.676067650E-2,3.944908577E-1
